Title,URL
Prince Of Persia: The Lost Crown Dev Team Reportedly Disbanded By Ubisoft - Nintendo Life,https://www.nintendolife.com/news/2024/10/prince-of-persia-the-lost-crown-dev-team-reportedly-disbanded-by-ubisoft
Anthropic publicly releases AI tool that can take over the user’s mouse cursor - Ars Technica,https://arstechnica.com/ai/2024/10/anthropic-publicly-releases-ai-tool-that-can-take-over-the-users-mouse-cursor/
6 new Android 15 features that I've fallen in love with - Android Police,https://www.androidpolice.com/my-favorite-android-15-features/
"Google & Qualcomm partner to bring gen AI to cars, and what that might look like - 9to5Google",http://9to5google.com/2024/10/22/google-qualcomm-gen-ai-cars/
Google Messages is trying to tackle today’s most annoying messaging spam - The Verge,https://www.theverge.com/2024/10/22/24276895/google-messages-job-package-delivery-spam
Apple rolling out new firmware update for select AirPods models - 9to5Mac,https://9to5mac.com/2024/10/22/apple-rolling-out-new-firmware-update-for-select-airpods-models/
"Netflix shutters its only triple-A studio, loses major industry hires - VentureBeat",https://venturebeat.com/games/netflix-shutters-its-only-triple-a-studio-loses-major-industry-hires/
Kong: Survivor Instinct Review - IGN,https://www.ign.com/articles/kong-survivor-instinct-review
Super Smash Bros. creator says he’s been working on a new game since 2022 - Polygon,https://www.polygon.com/news/468527/super-smash-bros-creator-new-game-masahiro-sakurai
Gurman: 'M4 Mac Launch' is 'Next Week' - MacRumors,https://www.macrumors.com/2024/10/22/m4-mac-launch-timing-rumors/
